fname,spcode,seq,utter,stime,etime,splabel,key_phrase
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,14,But what we use mainly single or double Lumen connectors to the menu. Do you want to know which brand or which company we use?,190,200,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,15,Of course.,201,202,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,16,That'd be fine. Thank you. Be born.,202,206,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,17,Okay.,208,209,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,18,Yeah.,210,211,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,19,"Alright. So if we look at the examples that are on the screen, which ones are you currently using.",211,220,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,20,"On the screen that we used to have the needleless connector, the one that looks like a bunk. Those I don't know if you can see the one above. Where is the needle? But we don't. We advise against using those because we try and maintain a clean, non touch technique when administering IV medication. It's quite close to the key part of the Port. So we try not to use those in theaters. They will have the three way tap. Okay then. Yeah. The total to have the three way top, but that wouldn't be coming to the word. So if a patient is coming out of theater, they have to change to the longer connected and we don't use the needle the needle less with needle Port. We don't do that.",222,300,respondent,needle Port
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,21,Okay. So you're using needleless or needle free connectors?,301,305,moderator,needle free connectors
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,22,"Yeah. No, we're not using that. Which one is that?",307,311,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,23,I'm sorry.,312,313,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,24,"Which one is that for the first small one, the needleless collector. That's it days we have used them before, but we try to move away from them.",313,323,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,25,Why is that?,325,326,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,26,"So? Because they're quite close to the capital to the canola. So we find that a lot of people when they're trying to connect the syringe, they can manipulate the movement of manipulating the line that can be quite heavy handed, which can then start to make the actual cannula, like bleed at the site. And because it's so small, it puts people at risk of actually touching the key part of when they're connecting.",327,359,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,27,Okay. So let me understand then you're not using needle free connectors to connect with the IV.,363,371,moderator,needle free connectors
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,28,"We are, but not this one. So the ones that we use have got like a tube and then we put this part to it. I don't know if that makes sense.",371,382,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,29,Okay. So they have an extension on them.,382,385,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,30,They've got an extension to it.,385,386,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,31,Okay.,387,388,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,32,"What brand are they be Brown, Brown.",388,393,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,33,And you only use one brand in the hospital.,393,396,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,34,Yes.,396,397,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,35,Okay. Now before who made the suggestion to move to what you're using now with the extension on the needless connector.,399,408,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,36,"To be honest, I'm not too sure I'm not to blame said this is I don't know if it was be Brown or if it was from research from prior to before I came, but. Yeah.",411,428,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,37,Okay. So how long have you been using the needle free connectors with the extension?,429,441,moderator,needle free connectors
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,38,"Gosh. They have since I joined the trust, which was even price to my current position. I've been in the trust since 20 27 26. Should I say the business 2016 we've been using. So we had these and we had the ones with the tube. But now we just see the ones with the chip we don't really see. Yeah.",443,476,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,39,Okay. Why only one brand?,477,479,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,40,I guess the Trust have that contract with them. And so they like the package that they get with them.,480,487,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,41,Alright. And are you exclusively using then the NATO free connectors with the extension or the tube on them? And you're not using this type of needle pre connector anywhere else in the hospital? No.,488,501,moderator,NATO free connectors
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,42,"So when we've recently done our curricula audits, we have not seen this connected on any. So we do canola audit in general for the whole hospital at least twice a year. And so we check all in patients with checking everyone with a line and no one had this in place. So they all had the one with the tube and then this type of connector at the end, either single Lumen or double Lumen.",504,538,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,43,Okay.,538,539,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,44,"And as well when you have when we have patients who are having. So let's say you have a patient who's having is fluid, but at the same time, this patient needs to have antibiotics given or something. If you've got a double Lumen, it enables you to be able to stop. Obviously, given that the medication is compatible, it enables you to sort of stop that fluid running so you can give your IV other Ivy medication without you actually having to disconnect. Because when you're disconnecting and reconnecting your leaving room for infection because people usually just leave that it infusion just hanging like the giving set, they won't really know how to manage it and then they'll just go and reconnect it. So we try and discourage people from disconnecting any Ivy medication until it's no longer needed or unless it's absolutely necessary. So that's the issue of just having these ones.",539,602,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,45,Okay. So the newer needless connector with the extension of the tube on it that's used with PVC lines with pick lines midline? No.,604,618,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,46,"So with the gosh? No, I'm trying to think so without Pic claims. So even with the Pic lines, they have their own. So they have like the tube once as well. It's not like this. Yeah. Even with our midline, we always have like a true connection and then the actual key up connector connected to it.",621,649,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,47,"What about within the therapy areas in the hospital, oncology dialysis? Are they used throughout the hospital?",650,658,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,48,So on our site we don't have oncology Department there.,658,664,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,49,Okay. Yeah. Alright. So what else is driving the use of the needle free connectors with that tube? Is it just the infection control or are there any other factors that have an influence or.,664,685,moderator,infection control
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,50,"To be honest, I think it's mainly our publicate and infection control and minimizing the risk of stuff touching that key part of the line and the manipulation of it. I mean, to be fair, even before I was in infection control as a softness on the floor when you're trying to connect, especially with with these sort of bank giving connectors, it can be quite fiddly. And if you're not experienced, you find yourself sort of manipulating and moving that Paula around.",689,731,respondent,infection control
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,51,Okay. Are there any government guidelines or regulations that control use of connectors with IV therapy?,735,744,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,52,Not that I'm aware of.,746,747,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,53,Okay.,750,751,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,54,Obviously I'm not sure if this is what you can't do. What we don't definitely don't do is not have a connector at all and just push it directly from the Kanila to. I don't know if I'm making sense. Do.,756,772,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,55,You do that?,774,775,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,56,"No, we don't. No, we do not do that. But in regards to what giving said, what connectors you can and can't use it any guidelines is that I don't think there is. I think it is just a trust preference based on the research and what the company that they choose to go with sell or advertise to them.",775,796,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,57,"Alright. So what are your general thoughts about needle free connectors? What do you like about them? What challenges do they present, if any.",798,807,moderator,needle free connectors
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,58,"So like I said with these ones, the ones that are on the screen, I find them to now that I'm experienced I'm able to use them. But for someone who's inexperienced is still quite Bitly. And it doesn't really it can put you at risk of touching the key areas of the Port that you shouldn't be touching. Yeah. Whereas the ones with the but then again, whereas the one with the was the long with the call the tube. It's much easier to you this more user friendly, should I say, and there's a little bit more room for you to be able to maneuver without the patient feeling like you're sort of like putting pressure on their arm when you're trying to connect it, because then that can also make the patient want to pull away and then putting your risk of then pulling the cannula out.",811,881,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,59,Okay. Any of the pluses or minuses for needle free connectors? I.,883,895,moderator,needle free connectors
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,60,"Think that's it. So can I just clarify, you know, you say needle free connected? What exactly do you mean? But it's got no needles in it.",897,917,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,61,Am I being a need and no needles are used?,917,922,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,62,"Actually, no needles I use. Yeah. I mean, from when I qualified, I qualified in 2012 and we have never come up. I think by that time well, I guess may not be where I work, but there were no, I never came across needles of being used. So obviously needle free connector. It reduces the risk of shop injury as well, isn't it?",922,946,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,63,Yes.,946,947,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,64,So that's the plus main main thing as well.,948,953,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,65,Okay. Now what other brands of needle free connectors are you aware of.,956,963,moderator,needle free connectors
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,66,"To one from the top of my head? No, that was addressing from the top of my head because I've only sort of come across the bones. I know there's other brands there, but I haven't really. So I expose myself to those to be honest, because everywhere I sort of moved to I've seen be born.",966,986,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,67,Okay.,990,991,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,68,Yeah.,991,992,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,69,"Alright. That's fine. Let me ask you about some factors that could be important in deciding to use needle free connectors. So and tell me what role these factors might play. Again, this is from your perspective. Right. So the type of fluid displacement that is used, whether it's positive, negative or neutral, does that play a role in the choice of Natal free connector? So.",993,1054,moderator,Natal free connector
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,70,Can you let me define positive.,1056,1062,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,71,"Negative and neutral for you and positive connectors with positive fluid? This placement when the IV set or syringes disconnected fluid is pushed into the catheter Lumen to overcome the intraluminal blood reflux and connectors with negative displacement allow blood to be pulled back or to reflux into the catheter lemon during disconnection. And it is neutral. Neutral fluid displacement prevents blood from moving into the Catherine Lumen upon connection or disconnection. So from your perspective, is the type of displacement important? Does it make a difference?",1062,1107,moderator,positive connectors
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,72,"I mean, it should do, because if she using something that allows the blood to sort of come back into the is it a practical needless or panel then that could possibly clock in there. And then if let's say you have to flash it, then you could be pushing that back into the patient, which to later can be a good thing. Is that what you mean?",1107,1139,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,73,"Well, that's part of it, I'm sure. What about the activation rate, how many times the connector can be used? Is that important? From your perspective?",1139,1155,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,74,"Eight. It is. Well, to be honest, thinking about connectors mainly the main thing that we I think it all depends on what that connector is. The connector is okay and it doesn't seem to be damaged or like visit certain. It should be fine. It's more about the maintenance of it more than anything, isn't it?",1164,1196,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,75,Okay.,1197,1198,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,76,And I guess maybe based on manufacturer what they say about how long you can use it for.,1199,1206,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,77,Alright. Now you said taller then.,1211,1213,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,78,Okay.,1214,1214,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,79,Go ahead.,1214,1215,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,80,"No, I'm saying, but I don't think sorry, because I'm thinking I'm thinking of different lines and how it applies and stuff because you're just when you're using these lines, you're pushing medication through and you're flushing it afterwards. So as long as they're not blocked, I see no reason why they should be in issue. It's more of the actual cannula that is in the patient. Yeah, I notice. I guess the medication that you would be pushing through, but otherwise I don't think there should be an issue with how long you can use it for. Alright.",1215,1255,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,81,Okay. You mentioned also that the needle free connector with the extension set is easier to use. What makes them easier to use?,1256,1268,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,82,"They are more user friendly in terms of connecting connecting it, however, on the down side compared to these, the one on the screen, the one on the screen, at least it's secure, whereas the ones with the tubing if it's not secured in place and depending on where it is or if it's somewhere like lower down on the arm or something that would be sort of dangling everywhere and touching all places. And obviously if that's not cleaned properly, that's another source of infection when you're connecting IV infusions as well. So yeah.",1269,1308,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,83,Alright. What about what about ease of cleaning cleaning us out.,1310,1317,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,84,"Cleaning as well. It does make it easier because you're able to put your to block you clean star sheet underneath with that. But then I guess even with this you can easily talk. It's much easier to take the store food under, I guess the Port that's in front of my screen if I'm making sense of what I'm saying.",1319,1344,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,85,Alright. So how important are ease of use and ease of cleaning and a decision to use needle free connectors?,1345,1353,moderator,needle free connectors
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,86,"Well, they're important because that are important. You need to cleaning is very important before you use them, because if you're going to see the lack of cleaning lines properly, that could also put patients at risk of picking up infection. So you see, easy to clean. I would say light it's priority over. Easy to use slightly, but they both come hand in hand. I see. Okay. Yeah. It takes priority like you need to be. You need before you can access that line before you even touch, use it or figure out how to use it. You need to know how it needs to be. It needs to be cleaned. And I guess people will probably choose finding an easy way of cleaning it.",1356,1416,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,87,Yep. Alright. What role does this price play PayPal? A big role?,1418,1428,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,88,I think so. Yeah.,1429,1431,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,89,What about the priming volume? How important is that?,1435,1438,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,90,So what do you mean by that?,1439,1441,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,91,The amount of fluid is required to get things started. The priming volume.,1442,1448,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,92,Or prime o like to priming the line?,1449,1456,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,93,Yes.,1456,1456,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,94,So are you now? Yeah. So are you then referring to the amount that is left in the if you're using the tube one the amount of fluid that is left in there compared to this bunk.,1461,1477,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,95,"Well, would that make a difference?",1480,1482,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,96,"But according to our pharmacist, when resulting from previous conversations, said it doesn't make much of a difference.",1486,1498,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,97,Okay.,1501,1502,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,98,Yeah. But when you do flash your you have to flash it and you have to flush your connector anyway before you connected to anything. So that would be we don't sort of like primate with whatever fluid that you're giving. Does that make sense? Yeah.,1503,1528,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,99,What about the flow rate? How important is that in the decision?,1529,1532,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,100,"But it doesn't. The flow rate. Isn't the flow rate affected more with the actual canola itself or catheters you're referring it to? Because what I experienced in the past is depending on the size of the case when you set, because we use like machines, we run fluid pumps. So if the cannula that you're using, if the pressure is too high or something, then it will bleed to tell you. But I've never really experienced like an issue with the actual giving, like the top. I don't think the issue is with the tube or the Disconnector. It's more of the actual panel on the size of it and the placement of where it is.",1540,1585,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,101,Okay.,1588,1589,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,102,Yeah.,1589,1591,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,103,"What about the reduction and infection since you since you switch from these little free connectors that you're looking at here to the ones with a extension or two, one of them. What's been the impact on infections?",1592,1608,moderator,little free connectors
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,104,"Well, we're currently finding that E. Coli bacteremia going up, but I think that's across the country anyway, it's not just in our hospital. And when we've sort of investigated for those that we've established that these are these are line related. It's been poor maintenance of the line, like no clear documentation of when it was put in or clear documentation or someone actually assessing this line of people actually identifying where they think the and they sort of see that any sense of la bites on the patient and stuff like that.",1620,1672,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,105,About the rate of occlusion. What impact does that have on choice of needle free connectors?,1677,1683,moderator,needle free connectors
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,106,I'm not too sure actually with that.,1685,1688,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,107,"Do you have the clinical evidence you need to support using noodle free connectors either with or without the extension to yes, we.",1691,1708,moderator,noodle free connectors
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,108,"Have our policy. We have a trust guideline and policy that are there. But if you ask me on the top of my head right now I was just embarrassed myself, but yeah, we do have a guideline. We do have a guideline in place for IV administration, and like I cumulation, which would also cover was connected. You should be using as well and also for IV guidelines. It says how you should be managing your lines all the way from how to flash, obviously using the needles system, flashing it and pre and post IV infusion.",1710,1752,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,109,Whose guidelines are they are the hospitals guidelines or your trust guidelines.,1755,1760,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,110,"Which they mainly adapt them from ethics. Three guidelines, but we have our class policy.",1760,1771,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,111,Okay.,1772,1773,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,112,Yeah.,1774,1775,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,113,"Okay. Now the use of needle free connectors being promoted in the hospital is that the the policy, the guidelines. That's what's being used now, period.",1781,1796,moderator,needle free connectors
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,114,"Yes. So we have period needle free. We have a needle free system in the trust. We don't even allow any needles to come out of the clean utility. So when you're going to your patient, you are going with just your syringe or with your ranges or with your back of medication. No needle. So if we catch anyone with a needle outside of the treatment room with asking where you going with that. So it's a strict need of re policy.",1797,1830,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,115,Okay.,1830,1831,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,116,Yeah.,1831,1832,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,117,"Alright. Now how important training you mentioned that? Yes. How is training provided? Who gets it? How frequently, who delivers it?",1832,1847,moderator,none
